area,tech,bus,gen,lat,lng,dist_km,capacity,capacity_factor,cost_poi_usd_per_mw,cost_reinforcement_usd_per_mw,cost_spur_usd_per_km_mw,same_area,system_capacity
2.0,solar,bus_103,solar_12188,36.07376059869655,-114.48490435742858,282.60122924438,1034.83,19.649696670386444,35000.0,345709.78,6176.704732336498,0,540.0
3.0,solar,bus_103,solar_12223,36.35237726226296,-117.3287207627037,395.8427380939379,616.44,19.899699049838656,15000.0,431066.34,4162.50411039619,0,540.0
2.0,solar,bus_103,solar_12568,36.11663067251379,-114.74778966457143,286.94736108470056,907.88,19.391389919897858,35000.0,404530.84,7771.421293493865,0,540.0
3.0,solar,bus_103,solar_12591,36.35237726226296,-117.11743114448147,384.3633619085657,1283.28,20.986785155739607,35000.0,243376.78,5059.439440354808,0,540.0
2.0,solar,bus_103,solar_12954,36.159500746331034,-114.13439061457143,295.6991324979243,216.79,19.79746766913336,35000.0,467371.66,9295.096465069715,0,540.0
2.0,solar,bus_103,solar_12977,36.202370820148275,-114.923046536,297.28876458118515,422.82,19.98129969611502,35000.0,365625.44,4648.62371364967,0,540.0
2.0,solar,bus_103,solar_13734,36.28811096778276,-115.01067497171428,307.49680502276277,1435.71,20.022836093802365,35000.0,275067.38,4670.662091503268,0,540.0
2.0,solar,bus_103,solar_14502,36.3309810416,-114.923046536,311.5471414749984,1274.09,19.972700974607537,35000.0,392252.53,3317.1199651070892,0,540.0
1.0,wind,bus_104,wind_3840,32.91772711277368,-115.08185540278947,153.32601996871242,78.0,29.86654403472681,35000.0,257014.03,13494.356293888508,1,3370.0
1.0,wind,bus_104,wind_3841,32.91772711277368,-114.94380074321053,143.81056303175043,66.0,32.903536507098664,35000.0,317563.62,13922.127475281783,1,3370.0
3.0,wind,bus_104,wind_3867,34.18784684133704,-116.976571399,293.46155946334676,66.0,22.15517101019571,15000.0,550612.56,10357.109068159081,0,3370.0
3.0,wind,bus_104,wind_4614,34.274428058174074,-117.04700127174074,301.23019694046303,228.0,45.46469677479659,15000.0,542013.2,9597.691972840154,0,3370.0
3.0,wind,bus_104,wind_4625,34.361009275011114,-118.24430910833333,411.4518698676588,186.0,40.587012468578514,35000.0,411351.8,5539.314954486427,0,3370.0
1.0,wind,bus_104,wind_5738,33.01659015964737,-114.80574608363158,126.91452838933428,144.0,45.67545565294453,35000.0,185248.53,6033.371193415638,1,3370.0
3.0,wind,bus_104,wind_5759,34.534171708685186,-118.5260285992963,439.7810522247837,246.0,27.70681974270578,15000.0,579130.6,4889.942746873255,0,3370.0
3.0,wind,bus_104,wind_5762,34.534171708685186,-118.31473898107407,420.6897924170751,204.0,38.767218884089594,15000.0,378539.16,11720.692783303672,0,3370.0
1.0,wind,bus_104,wind_6124,33.11545320652105,-116.324347339,244.40633352870768,60.0,52.26981609860366,35000.0,376899.84,13854.580762104344,1,3370.0
2.0,wind,bus_104,wind_6862,35.173489048534485,-114.48490435742858,162.97675554508945,42.0,49.37766374099247,35000.0,362114.1,5022.801101628039,0,3370.0
2.0,wind,bus_104,wind_6864,35.173489048534485,-114.309647486,157.7278734699521,252.0,39.248624139220354,35000.0,454195.8,4487.393906682622,0,3370.0
2.0,wind,bus_104,wind_8004,35.216359122351726,-115.01067497171428,190.17443002689905,222.0,57.02361614208024,15000.0,347759.25,3906.8795749374895,0,3370.0
1.0,wind,bus_104,wind_8011,33.31317930026842,-115.63407404110526,176.53180561363075,228.0,17.733234099813693,15000.0,124354.65,5979.508496701373,1,3370.0
1.0,wind,bus_104,wind_8026,33.31317930026842,-113.701308807,56.67890857506319,126.0,33.18933618191138,35000.0,307217.75,13701.886610865902,1,3370.0
1.0,wind,bus_104,wind_8770,33.412042347142105,-113.9774181261579,46.67971949990649,276.0,40.85052500898017,35000.0,139822.95,4952.446145236453,1,3370.0
1.0,wind,bus_104,wind_8775,33.51090539401579,-116.0482380198421,208.43030233451228,108.0,31.262503103984557,15000.0,240732.22,5543.147302292982,1,3370.0
2.0,wind,bus_104,wind_9542,35.25922919616897,-113.43336312885715,164.84949423905368,228.0,40.26782429171251,15000.0,206109.4,3636.3574772151674,0,3370.0
1.0,wind,bus_104,wind_9546,33.609768440889475,-116.18629267942106,219.527398349357,258.0,31.322704717256308,35000.0,228112.95,6730.409007429606,1,3370.0
1.0,wind,bus_104,wind_9926,33.609768440889475,-115.7721287006842,181.46519764174,288.0,29.121414121724055,35000.0,177124.89,5342.027528675423,1,3370.0
3.0,wind,bus_104,wind_10314,34.96707779287037,-118.38516885381482,437.6115627666236,246.0,41.28737036872091,15000.0,469507.75,3910.4721550060904,0,3370.0
3.0,wind,bus_104,wind_11080,35.05365900970741,-117.82172987188889,391.60305862259145,240.0,29.83449048851381,15000.0,473568.0,3140.1317006028785,0,3370.0
3.0,wind,bus_104,wind_11451,35.05365900970741,-117.39915063544444,355.60514886573924,216.0,31.922420034212657,35000.0,286184.66,5037.468664619892,0,3370.0
3.0,wind,bus_104,wind_11462,35.14024022654445,-118.59645847203703,461.53019106636594,72.0,30.90716157998361,15000.0,421182.88,4246.732688971792,0,3370.0
2.0,wind,bus_104,wind_12200,35.47357956525517,-115.44881715028572,237.0118625992921,282.0,35.868914710440556,35000.0,368521.7,3513.425303677313,0,3370.0
3.0,wind,bus_104,wind_12222,35.22682144338148,-118.80774809025925,482.7353024957946,180.0,7.294763642570183,15000.0,448000.2,4639.573607492375,0,3370.0
2.0,wind,bus_104,wind_13347,35.602189786706894,-115.36118871457143,243.54698367645324,240.0,31.74171522120349,35000.0,271069.88,4934.397613384755,0,3370.0
2.0,wind,bus_104,wind_13355,35.602189786706894,-114.66016122885715,213.14916408984,258.0,46.71920613088312,35000.0,318633.25,4238.3168759567225,0,3370.0
2.0,wind,bus_104,wind_13719,35.602189786706894,-113.696248436,199.3761435638323,270.0,49.6009464184887,15000.0,369154.3,5210.298750561249,0,3370.0
2.0,wind,bus_104,wind_13723,35.602189786706894,-113.34573469314286,203.79824420676272,282.0,46.93785294623239,35000.0,342503.72,4586.018234119997,0,3370.0
2.0,wind,bus_104,wind_14115,35.645059860524135,-113.60862000028573,204.75381545127613,102.0,44.604152879739,35000.0,319696.4,5301.523045267489,0,3370.0
1.0,solar,bus_104,solar_1180,33.609768440889475,-113.9774181261579,26.549169955292363,119.51,20.66093307534744,35000.0,415575.4,10881.386489607035,1,540.0
1.0,solar,bus_104,solar_1938,33.70863148776316,-115.91018336026316,193.06489607464405,413.56,21.006451738438415,35000.0,136194.78,5589.921430933224,1,540.0
1.0,solar,bus_104,solar_2696,33.70863148776316,-114.5296367644737,66.11327185868898,975.34,20.23556579392014,15000.0,326046.84,5842.262500000001,1,540.0
3.0,solar,bus_104,solar_3481,35.31340266021852,-117.54001038092592,378.8520272592377,235.46,20.98557988500825,15000.0,1450488.9,9015.091456745968,0,540.0
3.0,solar,bus_104,solar_3865,35.399983877055554,-117.89215974462962,411.89352370423313,555.68,20.956046218629005,15000.0,748010.2,8326.904253604604,0,540.0
1.0,solar,bus_104,solar_4974,33.90635758151053,-114.39158210489474,53.31365341454958,725.49,20.566563256377396,15000.0,151662.47,5015.97306034038,1,540.0
3.0,solar,bus_104,solar_5002,35.57314631072963,-117.75129999914815,408.8094202652712,321.51,20.805657171461945,15000.0,610527.6,14019.768686868687,0,540.0
2.0,solar,bus_104,solar_6866,35.773670081975865,-113.082849386,228.3895958765045,1975.87,20.3644778352278,15000.0,163287.61,3303.7093581362155,0,540.0
2.0,solar,bus_104,solar_6870,35.816540155793106,-115.27356027885715,259.1139058025641,511.49,20.3885561933549,15000.0,191078.33,4340.889018140537,0,540.0
1.0,solar,bus_104,solar_6877,34.20294672213158,-114.39158210489474,67.89892079506072,243.36,20.323107440582152,35000.0,248843.27,14732.03952695499,1,540.0
1.0,solar,bus_104,solar_7637,34.40067281587895,-116.0482380198421,214.84997345978312,115.64,20.97164538263398,15000.0,329703.16,8637.77394621809,1,540.0
1.0,solar,bus_104,solar_8402,34.59839890962632,-116.18629267942106,234.03621991490175,800.57,20.779362880359272,35000.0,309062.75,5348.813514564577,1,540.0
1.0,solar,bus_104,solar_8406,34.59839890962632,-115.63407404110526,187.8913427412436,381.67,20.52282248996236,35000.0,307217.75,13701.886610865902,1,540.0
3.0,solar,bus_104,solar_8422,36.00605239491482,-118.878177963,521.2287490084298,1534.09,18.4643785313685,15000.0,147581.83,4738.016111105843,0,540.0
1.0,solar,bus_104,solar_8772,34.59839890962632,-115.21991006236843,155.19313006144296,1262.43,20.827260532201606,15000.0,285082.16,4698.472227915261,1,540.0
3.0,solar,bus_104,solar_8801,36.00605239491482,-118.0330194901111,454.5826629088015,1920.94,21.38626932296118,15000.0,166064.89,3150.371663040237,0,540.0
1.0,solar,bus_104,solar_9164,34.6972619565,-115.91018336026316,215.3895260674787,1370.69,20.80076673898595,15000.0,228099.69,4582.887685702328,1,540.0
3.0,solar,bus_104,solar_9554,36.09263361175185,-118.73731821751852,514.3828116183548,2675.24,19.246807189138497,35000.0,439531.4,4826.783703703703,0,540.0
2.0,solar,bus_104,solar_10302,35.94515037724483,-113.95913374314286,237.47511902364505,774.09,20.206921077184717,35000.0,88726.28,5257.520563974944,0,540.0
3.0,solar,bus_104,solar_11083,36.26579604542593,-118.1738792355926,480.7031584677312,562.63,21.704051587967797,15000.0,407670.75,4334.185178850601,0,540.0
2.0,solar,bus_104,solar_11821,36.07376059869655,-115.36118871457143,287.78848090849823,1895.69,20.33245961018209,35000.0,267489.94,4568.217359904856,0,540.0
3.0,solar,bus_104,solar_11837,36.35237726226296,-118.5260285992963,512.4605386534752,3199.82,21.280843517492393,35000.0,657265.94,3555.5323979640634,0,540.0
2.0,solar,bus_104,solar_12188,36.07376059869655,-114.48490435742858,258.5452063551682,1034.83,19.649696670386444,35000.0,345709.78,6176.704732336498,0,540.0
3.0,solar,bus_104,solar_12223,36.35237726226296,-117.3287207627037,425.8431245144701,616.44,19.899699049838656,15000.0,431066.34,4162.50411039619,0,540.0
2.0,solar,bus_104,solar_12568,36.11663067251379,-114.74778966457143,269.65856008966983,907.88,19.391389919897858,35000.0,404530.84,7771.421293493865,0,540.0
3.0,solar,bus_104,solar_12591,36.35237726226296,-117.11743114448147,411.65693552768835,1283.28,20.986785155739607,35000.0,243376.78,5059.439440354808,0,540.0
2.0,solar,bus_104,solar_12954,36.159500746331034,-114.13439061457143,262.5093354091918,216.79,19.79746766913336,35000.0,467371.66,9295.096465069715,0,540.0
2.0,solar,bus_104,solar_12977,36.202370820148275,-114.923046536,283.9371201859489,422.82,19.98129969611502,35000.0,365625.44,4648.62371364967,0,540.0
2.0,solar,bus_104,solar_13734,36.28811096778276,-115.01067497171428,295.6770660327917,1435.71,20.022836093802365,35000.0,275067.38,4670.662091503268,0,540.0
2.0,solar,bus_104,solar_14502,36.3309810416,-114.923046536,297.338092394825,1274.09,19.972700974607537,35000.0,392252.53,3317.1199651070892,0,540.0
1.0,wind,bus_105,wind_3840,32.91772711277368,-115.08185540278947,130.13091717945952,78.0,29.86654403472681,35000.0,257014.03,13494.356293888508,1,3370.0
1.0,wind,bus_105,wind_3841,32.91772711277368,-114.94380074321053,120.48135124723808,66.0,32.903536507098664,35000.0,317563.62,13922.127475281783,1,3370.0
3.0,wind,bus_105,wind_3867,34.18784684133704,-116.976571399,280.92924538752766,66.0,22.15517101019571,15000.0,550612.56,10357.109068159081,0,3370.0
3.0,wind,bus_105,wind_4614,34.274428058174074,-117.04700127174074,289.26871545649675,228.0,45.46469677479659,15000.0,542013.2,9597.691972840154,0,3370.0
3.0,wind,bus_105,wind_4625,34.361009275011114,-118.24430910833333,398.9680185827394,186.0,40.587012468578514,35000.0,411351.8,5539.314954486427,0,3370.0
1.0,wind,bus_105,wind_5738,33.01659015964737,-114.80574608363158,103.57454184661464,144.0,45.67545565294453,35000.0,185248.53,6033.371193415638,1,3370.0
3.0,wind,bus_105,wind_5759,34.534171708685186,-118.5260285992963,427.99640558405014,246.0,27.70681974270578,15000.0,579130.6,4889.942746873255,0,3370.0
3.0,wind,bus_105,wind_5762,34.534171708685186,-118.31473898107407,409.07862751667176,204.0,38.767218884089594,15000.0,378539.16,11720.692783303672,0,3370.0
1.0,wind,bus_105,wind_6124,33.11545320652105,-116.324347339,224.20405436300868,60.0,52.26981609860366,35000.0,376899.84,13854.580762104344,1,3370.0
2.0,wind,bus_105,wind_6862,35.173489048534485,-114.48490435742858,174.14069572878793,42.0,49.37766374099247,35000.0,362114.1,5022.801101628039,0,3370.0
2.0,wind,bus_105,wind_6864,35.173489048534485,-114.309647486,170.73532308803036,252.0,39.248624139220354,35000.0,454195.8,4487.393906682622,0,3370.0
2.0,wind,bus_105,wind_8004,35.216359122351726,-115.01067497171428,196.39847341332748,222.0,57.02361614208024,15000.0,347759.25,3906.8795749374895,0,3370.0
1.0,wind,bus_105,wind_8011,33.31317930026842,-115.63407404110526,156.44528652961048,228.0,17.733234099813693,15000.0,124354.65,5979.508496701373,1,3370.0
1.0,wind,bus_105,wind_8026,33.31317930026842,-113.701308807,47.38930257979231,126.0,33.18933618191138,35000.0,307217.75,13701.886610865902,1,3370.0
1.0,wind,bus_105,wind_8770,33.412042347142105,-113.9774181261579,27.59543969243743,276.0,40.85052500898017,35000.0,139822.95,4952.446145236453,1,3370.0
1.0,wind,bus_105,wind_8775,33.51090539401579,-116.0482380198421,190.53896849494615,108.0,31.262503103984557,15000.0,240732.22,5543.147302292982,1,3370.0
2.0,wind,bus_105,wind_9542,35.25922919616897,-113.43336312885715,185.2801909078217,228.0,40.26782429171251,15000.0,206109.4,3636.3574772151674,0,3370.0
1.0,wind,bus_105,wind_9546,33.609768440889475,-116.18629267942106,202.5679305084559,258.0,31.322704717256308,35000.0,228112.95,6730.409007429606,1,3370.0
1.0,wind,bus_105,wind_9926,33.609768440889475,-115.7721287006842,164.24432259183638,288.0,29.121414121724055,35000.0,177124.89,5342.027528675423,1,3370.0
3.0,wind,bus_105,wind_10314,34.96707779287037,-118.38516885381482,428.22280911183486,246.0,41.28737036872091,15000.0,469507.75,3910.4721550060904,0,3370.0
3.0,wind,bus_105,wind_11080,35.05365900970741,-117.82172987188889,383.5860621623515,240.0,29.83449048851381,15000.0,473568.0,3140.1317006028785,0,3370.0
3.0,wind,bus_105,wind_11451,35.05365900970741,-117.39915063544444,348.4640888632604,216.0,31.922420034212657,35000.0,286184.66,5037.468664619892,0,3370.0
3.0,wind,bus_105,wind_11462,35.14024022654445,-118.59645847203703,452.74206143660416,72.0,30.90716157998361,15000.0,421182.88,4246.732688971792,0,3370.0
2.0,wind,bus_105,wind_12200,35.47357956525517,-115.44881715028572,241.46592723755495,282.0,35.868914710440556,35000.0,368521.7,3513.425303677313,0,3370.0
3.0,wind,bus_105,wind_12222,35.22682144338148,-118.80774809025925,474.0833940291717,180.0,7.294763642570183,15000.0,448000.2,4639.573607492375,0,3370.0
2.0,wind,bus_105,wind_13347,35.602189786706894,-115.36118871457143,249.3783111064613,240.0,31.74171522120349,35000.0,271069.88,4934.397613384755,0,3370.0
2.0,wind,bus_105,wind_13355,35.602189786706894,-114.66016122885715,224.3185605008119,258.0,46.71920613088312,35000.0,318633.25,4238.3168759567225,0,3370.0
2.0,wind,bus_105,wind_13719,35.602189786706894,-113.696248436,217.77927185134237,270.0,49.6009464184887,15000.0,369154.3,5210.298750561249,0,3370.0
2.0,wind,bus_105,wind_13723,35.602189786706894,-113.34573469314286,224.1259993803043,282.0,46.93785294623239,35000.0,342503.72,4586.018234119997,0,3370.0
2.0,wind,bus_105,wind_14115,35.645059860524135,-113.60862000028573,223.6462536493343,102.0,44.604152879739,35000.0,319696.4,5301.523045267489,0,3370.0
1.0,solar,bus_105,solar_1180,33.609768440889475,-113.9774181261579,5.886772697784536,119.51,20.66093307534744,35000.0,415575.4,10881.386489607035,1,540.0
1.0,solar,bus_105,solar_1938,33.70863148776316,-115.91018336026316,176.9140291267821,413.56,21.006451738438415,35000.0,136194.78,5589.921430933224,1,540.0
1.0,solar,bus_105,solar_2696,33.70863148776316,-114.5296367644737,49.39789880450807,975.34,20.23556579392014,15000.0,326046.84,5842.262500000001,1,540.0
3.0,solar,bus_105,solar_3481,35.31340266021852,-117.54001038092592,372.9867934082204,235.46,20.98557988500825,15000.0,1450488.9,9015.091456745968,0,540.0
3.0,solar,bus_105,solar_3865,35.399983877055554,-117.89215974462962,405.7105964197372,555.68,20.956046218629005,15000.0,748010.2,8326.904253604604,0,540.0
1.0,solar,bus_105,solar_4974,33.90635758151053,-114.39158210489474,45.49003792821731,725.49,20.566563256377396,15000.0,151662.47,5015.97306034038,1,540.0
3.0,solar,bus_105,solar_5002,35.57314631072963,-117.75129999914815,403.9066300286584,321.51,20.805657171461945,15000.0,610527.6,14019.768686868687,0,540.0
2.0,solar,bus_105,solar_6866,35.773670081975865,-113.082849386,249.54341194477936,1975.87,20.3644778352278,15000.0,163287.61,3303.7093581362155,0,540.0
2.0,solar,bus_105,solar_6870,35.816540155793106,-115.27356027885715,266.61796058652817,511.49,20.3885561933549,15000.0,191078.33,4340.889018140537,0,540.0
1.0,solar,bus_105,solar_6877,34.20294672213158,-114.39158210489474,70.44476040745697,243.36,20.323107440582152,35000.0,248843.27,14732.03952695499,1,540.0
1.0,solar,bus_105,solar_7637,34.40067281587895,-116.0482380198421,206.0316324941873,115.64,20.97164538263398,15000.0,329703.16,8637.77394621809,1,540.0
1.0,solar,bus_105,solar_8402,34.59839890962632,-116.18629267942106,226.77455951214372,800.57,20.779362880359272,35000.0,309062.75,5348.813514564577,1,540.0
1.0,solar,bus_105,solar_8406,34.59839890962632,-115.63407404110526,183.15556631541895,381.67,20.52282248996236,35000.0,307217.75,13701.886610865902,1,540.0
3.0,solar,bus_105,solar_8422,36.00605239491482,-118.878177963,516.0300223396075,1534.09,18.4643785313685,15000.0,147581.83,4738.016111105843,0,540.0
1.0,solar,bus_105,solar_8772,34.59839890962632,-115.21991006236843,153.38084021524074,1262.43,20.827260532201606,15000.0,285082.16,4698.472227915261,1,540.0
3.0,solar,bus_105,solar_8801,36.00605239491482,-118.0330194901111,451.1938427833907,1920.94,21.38626932296118,15000.0,166064.89,3150.371663040237,0,540.0
1.0,solar,bus_105,solar_9164,34.6972619565,-115.91018336026316,210.2857329966068,1370.69,20.80076673898595,15000.0,228099.69,4582.887685702328,1,540.0
3.0,solar,bus_105,solar_9554,36.09263361175185,-118.73731821751852,509.8281987921337,2675.24,19.246807189138497,35000.0,439531.4,4826.783703703703,0,540.0
2.0,solar,bus_105,solar_10302,35.94515037724483,-113.95913374314286,254.17215935661713,774.09,20.206921077184717,35000.0,88726.28,5257.520563974944,0,540.0
3.0,solar,bus_105,solar_11083,36.26579604542593,-118.1738792355926,478.1610841703949,562.63,21.704051587967797,15000.0,407670.75,4334.185178850601,0,540.0
2.0,solar,bus_105,solar_11821,36.07376059869655,-115.36118871457143,295.80781333399057,1895.69,20.33245961018209,35000.0,267489.94,4568.217359904856,0,540.0
3.0,solar,bus_105,solar_11837,36.35237726226296,-118.5260285992963,509.46428881226296,3199.82,21.280843517492393,35000.0,657265.94,3555.5323979640634,0,540.0
2.0,solar,bus_105,solar_12188,36.07376059869655,-114.48490435742858,272.0809555994802,1034.83,19.649696670386444,35000.0,345709.78,6176.704732336498,0,540.0
